"...1.x","time","latitude","longitude","chlorophyll","month","year_month","...1.y","YEAR","Month","Temperature","Date","ColorCategory","enso_event"
1004278,2018-06-15 12:00:00,36.6,-122.4,5.8349924,2018-06-15 12:00:00,"2018-06",222,2018,"June",-0.5,2018-06-01,"Below Threshold","La Nina"
1010073,2018-07-16 12:00:00,36.6,-122.4,0.44125643,2018-07-16 12:00:00,"2018-07",223,2018,"July",0,2018-07-01,"Below Threshold","La Nina"
1015868,2018-08-16 12:00:00,36.6,-122.4,2.8164976,2018-08-16 12:00:00,"2018-08",224,2018,"Aug",0.5,2018-08-01,"Above Threshold","El Nino"
1021663,2018-09-15 12:00:00,36.6,-122.4,5.494034,2018-09-15 12:00:00,"2018-09",225,2018,"Sep",0.6,2018-09-01,"Above Threshold","El Nino"
1027458,2018-10-16 12:00:00,36.6,-122.4,1.3192334,2018-10-16 12:00:00,"2018-10",226,2018,"Oct",0.5,2018-10-01,"Above Threshold","El Nino"
1033253,2018-11-15 12:00:00,36.6,-122.4,1.9389622,2018-11-15 12:00:00,"2018-11",227,2018,"NOv",0.3,2018-11-01,"Above Threshold","El Nino"
1039048,2018-12-16 12:00:00,36.6,-122.4,0.8683446,2018-12-16 12:00:00,"2018-12",228,2018,"Dec",0.2,2018-12-01,"Above Threshold","El Nino"
1044843,2019-01-16 12:00:00,36.6,-122.4,0.8436907,2019-01-16 12:00:00,"2019-01",229,2019,"Jan",0.1,2019-01-01,"Above Threshold","El Nino"
1050638,2019-02-14 12:00:00,36.6,-122.4,0.6721283,2019-02-14 12:00:00,"2019-02",230,2019,"Feb",0.5,2019-02-01,"Above Threshold","El Nino"
1056433,2019-03-16 12:00:00,36.6,-122.4,1.7256737,2019-03-16 12:00:00,"2019-03",231,2019,"March",0.8,2019-03-01,"Above Threshold","El Nino"
1062228,2019-04-15 12:00:00,36.6,-122.4,4.212141,2019-04-15 12:00:00,"2019-04",232,2019,"April",0.3,2019-04-01,"Above Threshold","El Nino"
1068023,2019-05-16 12:00:00,36.6,-122.4,0.57627374,2019-05-16 12:00:00,"2019-05",233,2019,"May",0.2,2019-05-01,"Above Threshold","El Nino"
1073818,2019-06-15 12:00:00,36.6,-122.4,1.2747087,2019-06-15 12:00:00,"2019-06",234,2019,"June",0.4,2019-06-01,"Above Threshold","El Nino"
1079613,2019-07-16 12:00:00,36.6,-122.4,2.2776923,2019-07-16 12:00:00,"2019-07",235,2019,"July",0.3,2019-07-01,"Above Threshold","El Nino"
1085408,2019-08-16 12:00:00,36.6,-122.4,2.859322,2019-08-16 12:00:00,"2019-08",236,2019,"Aug",0.3,2019-08-01,"Above Threshold","El Nino"
1091203,2019-09-15 12:00:00,36.6,-122.4,3.3500295,2019-09-15 12:00:00,"2019-09",237,2019,"Sep",0.2,2019-09-01,"Above Threshold","El Nino"
1096998,2019-10-16 12:00:00,36.6,-122.4,3.2400947,2019-10-16 12:00:00,"2019-10",238,2019,"Oct",0.3,2019-10-01,"Above Threshold","El Nino"
1102793,2019-11-15 12:00:00,36.6,-122.4,1.5499111,2019-11-15 12:00:00,"2019-11",239,2019,"NOv",0.5,2019-11-01,"Above Threshold","El Nino"
1108588,2019-12-16 12:00:00,36.6,-122.4,0.63929033,2019-12-16 12:00:00,"2019-12",240,2019,"Dec",0.4,2019-12-01,"Above Threshold","El Nino"
1114383,2020-01-16 12:00:00,36.6,-122.4,1.4968851,2020-01-16 12:00:00,"2020-01",241,2020,"Jan",0.3,2020-01-01,"Above Threshold","El Nino"
1120178,2020-02-15,36.6,-122.4,1.0018027,2020-02-15,"2020-02",242,2020,"Feb",0.3,2020-02-01,"Above Threshold","El Nino"
1125973,2020-03-16 12:00:00,36.6,-122.4,1.5130396,2020-03-16 12:00:00,"2020-03",243,2020,"March",0.1,2020-03-01,"Above Threshold","El Nino"
1131768,2020-04-15 12:00:00,36.6,-122.4,0.91116565,2020-04-15 12:00:00,"2020-04",244,2020,"April",-0.1,2020-04-01,"Below Threshold","La Nina"
1137563,2020-05-16 12:00:00,36.6,-122.4,26.27319,2020-05-16 12:00:00,"2020-05",245,2020,"May",-0.2,2020-05-01,"Below Threshold","La Nina"
1143358,2020-06-15 12:00:00,36.6,-122.4,1.1250352,2020-06-15 12:00:00,"2020-06",246,2020,"June",-0.7,2020-06-01,"Below Threshold","La Nina"
1149153,2020-07-16 12:00:00,36.6,-122.4,2.6921313,2020-07-16 12:00:00,"2020-07",247,2020,"July",-0.9,2020-07-01,"Below Threshold","La Nina"
1154948,2020-09-15 12:00:00,36.6,-122.4,12.5622225,2020-09-15 12:00:00,"2020-09",249,2020,"Sep",-1.1,2020-09-01,"Below Threshold","La Nina"
1160743,2020-10-16 12:00:00,36.6,-122.4,4.59415,2020-10-16 12:00:00,"2020-10",250,2020,"Oct",-1.2,2020-10-01,"Below Threshold","La Nina"
1166538,2020-11-15 12:00:00,36.6,-122.4,5.1234612,2020-11-15 12:00:00,"2020-11",251,2020,"NOv",-1.1,2020-11-01,"Below Threshold","La Nina"
1172333,2020-12-16 12:00:00,36.6,-122.4,4.766184,2020-12-16 12:00:00,"2020-12",252,2020,"Dec",-1.1,2020-12-01,"Below Threshold","La Nina"
1178128,2021-01-16 12:00:00,36.6,-122.4,1.078168,2021-01-16 12:00:00,"2021-01",253,2021,"Jan",-1.2,2021-01-01,"Below Threshold","La Nina"
1183923,2021-02-14 12:00:00,36.6,-122.4,2.1589625,2021-02-14 12:00:00,"2021-02",254,2021,"Feb",-1,2021-02-01,"Below Threshold","La Nina"
1189718,2021-03-16 12:00:00,36.6,-122.4,18.645576,2021-03-16 12:00:00,"2021-03",255,2021,"March",-0.8,2021-03-01,"Below Threshold","La Nina"
1195513,2021-04-15 12:00:00,36.6,-122.4,3.2652571,2021-04-15 12:00:00,"2021-04",256,2021,"April",-0.9,2021-04-01,"Below Threshold","La Nina"
1201308,2021-05-16 12:00:00,36.6,-122.4,1.1149933,2021-05-16 12:00:00,"2021-05",257,2021,"May",-1.1,2021-05-01,"Below Threshold","La Nina"
1207103,2021-06-15 12:00:00,36.6,-122.4,2.6809177,2021-06-15 12:00:00,"2021-06",258,2021,"June",-1,2021-06-01,"Below Threshold","La Nina"
1212898,2021-07-16 12:00:00,36.6,-122.4,5.8478947,2021-07-16 12:00:00,"2021-07",259,2021,"July",-1.4,2021-07-01,"Below Threshold","La Nina"
1218693,2021-08-16 12:00:00,36.6,-122.4,3.4807959,2021-08-16 12:00:00,"2021-08",260,2021,"Aug",-1.3,2021-08-01,"Below Threshold","La Nina"
1224488,2021-09-15 12:00:00,36.6,-122.4,1.174556,2021-09-15 12:00:00,"2021-09",261,2021,"Sep",-1.4,2021-09-01,"Below Threshold","La Nina"
1230283,2021-10-16 12:00:00,36.6,-122.4,0.604765,2021-10-16 12:00:00,"2021-10",262,2021,"Oct",-1.5,2021-10-01,"Below Threshold","La Nina"
1236078,2021-11-15 12:00:00,36.6,-122.4,0.6560439,2021-11-15 12:00:00,"2021-11",263,2021,"NOv",-1.4,2021-11-01,"Below Threshold","La Nina"
1241873,2021-12-16 12:00:00,36.6,-122.4,0.7443896,2021-12-16 12:00:00,"2021-12",264,2021,"Dec",-1.2,2021-12-01,"Below Threshold","La Nina"
1247668,2022-01-16 12:00:00,36.6,-122.4,1.0325987,2022-01-16 12:00:00,"2022-01",265,2022,"Jan",-1,2022-01-01,"Below Threshold","La Nina"
1253463,2022-02-14 12:00:00,36.6,-122.4,0.8331224,2022-02-14 12:00:00,"2022-02",266,2022,"Feb",-1,2022-02-01,"Below Threshold","La Nina"
1259258,2022-03-16 12:00:00,36.6,-122.4,0.8724967,2022-03-16 12:00:00,"2022-03",267,2022,"March",-1.3,2022-03-01,"Below Threshold","La Nina"
1265053,2022-04-15 12:00:00,36.6,-122.4,0.5284491,2022-04-15 12:00:00,"2022-04",268,2022,"April",-1.6,2022-04-01,"Below Threshold","La Nina"
1270848,2022-05-16 12:00:00,36.6,-122.4,1.5709965,2022-05-16 12:00:00,"2022-05",269,2022,"May",-1.6,2022-05-01,"Below Threshold","La Nina"
1276643,2022-06-15 12:00:00,36.6,-122.4,2.4319103,2022-06-15 12:00:00,"2022-06",270,2022,"June",-1.9,2022-06-01,"Below Threshold","La Nina"
1282438,2022-07-16 12:00:00,36.6,-122.4,0.67158604,2022-07-16 12:00:00,"2022-07",271,2022,"July",-2.2,2022-07-01,"Below Threshold","La Nina"
1288233,2022-08-16 12:00:00,36.6,-122.4,1.7722857,2022-08-16 12:00:00,"2022-08",272,2022,"Aug",-1.7,2022-08-01,"Below Threshold","La Nina"
1294028,2022-09-15 12:00:00,36.6,-122.4,2.1773481,2022-09-15 12:00:00,"2022-09",273,2022,"Sep",-1.7,2022-09-01,"Below Threshold","La Nina"
1299823,2022-10-16 12:00:00,36.6,-122.4,0.50082165,2022-10-16 12:00:00,"2022-10",274,2022,"Oct",-1.7,2022-10-01,"Below Threshold","La Nina"
1305618,2022-11-15 12:00:00,36.6,-122.4,0.45829263,2022-11-15 12:00:00,"2022-11",275,2022,"NOv",-1.5,2022-11-01,"Below Threshold","La Nina"
1311413,2022-12-16 12:00:00,36.6,-122.4,0.64083445,2022-12-16 12:00:00,"2022-12",276,2022,"Dec",-1.3,2022-12-01,"Below Threshold","La Nina"
1317208,2023-01-16 12:00:00,36.6,-122.4,1.0257939,2023-01-16 12:00:00,"2023-01",277,2023,"Jan",-1.1,2023-01-01,"Below Threshold","La Nina"
1323003,2023-02-14 12:00:00,36.6,-122.4,0.6369729,2023-02-14 12:00:00,"2023-02",278,2023,"Feb",-0.9,2023-02-01,"Below Threshold","La Nina"
1328798,2023-03-16 12:00:00,36.6,-122.4,0.5032362,2023-03-16 12:00:00,"2023-03",279,2023,"March",-0.8,2023-03-01,"Below Threshold","La Nina"
1334593,2023-04-15 12:00:00,36.6,-122.4,1.4565206,2023-04-15 12:00:00,"2023-04",280,2023,"April",-0.4,2023-04-01,"Below Threshold","La Nina"
1340388,2023-05-16 12:00:00,36.6,-122.4,0.42155516,2023-05-16 12:00:00,"2023-05",281,2023,"May",-0.1,2023-05-01,"Below Threshold","La Nina"
1346183,2023-06-15 12:00:00,36.6,-122.4,0.7872178,2023-06-15 12:00:00,"2023-06",282,2023,"June",0.4,2023-06-01,"Above Threshold","El Nino"
1351978,2023-07-16 12:00:00,36.6,-122.4,2.5759137,2023-07-16 12:00:00,"2023-07",283,2023,"July",0.5,2023-07-01,"Above Threshold","El Nino"
1357773,2023-08-16 12:00:00,36.6,-122.4,0.7324718,2023-08-16 12:00:00,"2023-08",284,2023,"Aug",0.5,2023-08-01,"Above Threshold","El Nino"
1363568,2023-09-15 12:00:00,36.6,-122.4,0.5534489,2023-09-15 12:00:00,"2023-09",285,2023,"Sep",0.7,2023-09-01,"Above Threshold","El Nino"
1369363,2023-10-16 12:00:00,36.6,-122.4,0.6665557,2023-10-16 12:00:00,"2023-10",286,2023,"Oct",0.5,2023-10-01,"Above Threshold","El Nino"
1375158,2023-11-15 12:00:00,36.6,-122.4,1.7186865,2023-11-15 12:00:00,"2023-11",287,2023,"NOv",0.9,2023-11-01,"Above Threshold","El Nino"
1380953,2023-12-16 12:00:00,36.6,-122.4,1.8272073,2023-12-16 12:00:00,"2023-12",288,2023,"Dec",1.1,2023-12-01,"Above Threshold","El Nino"
1386748,2024-01-16 12:00:00,36.6,-122.4,1.3208704,2024-01-16 12:00:00,"2024-01",289,2024,"Jan",0.7,2024-01-01,"Above Threshold","El Nino"
1392543,2024-02-15,36.6,-122.4,7.5547504,2024-02-15,"2024-02",290,2024,"Feb",0.7,2024-02-01,"Above Threshold","El Nino"
